region_bin,n_records,lat_centroid,lon_centroid,min_depth,max_depth,gap_status,priority_score
Arabian Sea / Persian Gulf,0,NA,NA,NA,NA,critical gap,17
Bay of Bengal,0,NA,NA,NA,NA,critical gap,17
E Africa coast,0,NA,NA,NA,NA,critical gap,17
Central Pacific,1,-18,178.5,Inf,-Inf,data gap,7
Great Barrier Reef,1,-23.45,151.9167,Inf,-Inf,data gap,7
W Africa coast,3,11.377466666666667,-8.385633333333333,Inf,-Inf,data gap,7
Florida / Gulf Mexico,8,30.602225,-87.0359875,Inf,-Inf,undersampled,2
Arctic,10,68.99544,22.754060000000003,45,288,undersampled,2
Western Indian Ocean,44,0.42227954545454555,42.51115681818182,31.48842127993703,105.09349785745144,moderate,0
South Ocean (high lat),46,-54.25152391304348,-48.92261304347826,36,295,moderate,0
Brazil / S Atlantic,53,-3.8367132075471697,-32.691103773584906,31.691291704773903,207.49334563035518,well sampled,0
Eastern Indian Ocean,54,0.9756888888888889,76.85438518518518,30.436125760897994,139.93781751254573,well sampled,0
Eastern Pacific (tropical),75,-7.2421,-122.30161066666666,31.947723124176264,129.2612463887781,well sampled,0
Mediterranean,107,36.81696728971963,17.127417757009347,31.066939518786967,258,well sampled,0
Hawaii / C Pacific,139,21.019291366906476,-157.560845323741,30.20475508645177,149.85119207762182,well sampled,0
SE Asia Archipelago,141,-6.855839716312056,124.3804964539007,30.084120905958116,120.40041933767498,well sampled,0
NE Atlantic,184,54.399375,-0.11110760869565217,30.003949478268623,271,well sampled,0
SW Australia,323,-25.857444582043343,113.61144086687307,30,109.9226657487452,well sampled,0
Caribbean,388,22.14134845360825,-76.05707525773195,30.223263865336776,162,well sampled,0
SE Australia / NZ,420,-35.68410214285714,159.68943595238096,30,300,well sampled,0
Western Pacific (equatorial),567,-15.52220405643739,148.14337019400352,30.070332685718313,138.54150673141703,well sampled,0
