lat,lon,depth_m,dataset,source,is_gap
-25.3516,113.2713,50.20262386649847,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.1259,113.8133,86.61766245961189,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.7547,113.6525,41.396488174796104,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6469,113.26,100.84265489131212,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.7383,114.161,67.44791895151138,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9424,113.0237,88.76151936128736,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.2954,114.0663,91.82756077498198,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9379,113.8257,57.079197876155376,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.0926,112.661,97.1577050536871,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9251,113.6281,62.41780757904053,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.3781,113.8204,84.94981786236167,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-24.9853,113.1833,69.66029593721032,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.4555,113.4957,47.567297518253326,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0115,112.8506,83.29529348760843,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9533,113.137,84.87249566242099,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6456,113.5547,54.24545479938388,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0137,113.6085,41.21189657598734,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.9626,113.4705,57.92418673634529,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.8762,113.1902,90.88579807430506,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.372,113.7375,46.502409782260656,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0227,114.031,64.78913092985749,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.6125,113.2597,34.978622775524855,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9688,113.5226,57.37634148448706,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.4141,113.2876,105.8544029481709,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.1419,113.4676,88.39802609756589,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0722,113.5643,88.67879290133715,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0029,113.4591,81.09449796378613,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.6053,113.3581,62.07636000588536,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.716,113.3115,32.176597472280264,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.156,113.5136,86.92815294489264,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.7178,113.4197,31.88000399619341,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6181,113.2822,102.11399195715785,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.486,113.6509,108.44271700829268,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.1436,113.6615,40.06379220634699,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.698,113.5681,75.91039147228003,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.5868,113.0596,94.82008922845125,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.2138,113.661,102.94685008004308,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.2404,113.6703,38.9795913733542,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.8657,113.3867,103.82065676152706,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8856,113.7215,85.67313592880964,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8176,114.0057,67.81820127740502,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0444,113.6311,79.54933922737837,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.5967,113.806,37.71480234339833,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.1907,114.013,68.83333891630173,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.4473,114.1636,36.15407582372427,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.7269,113.3077,37.08977872505784,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.2246,113.3369,30.64012970775366,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.3224,113.3684,59.8987833596766,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0726,113.9404,105.37383047863841,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6377,113.7327,84.29677486419678,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.7712,113.8831,67.65485599637032,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.2135,113.6206,108.2841794192791,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.2697,113.3846,94.68619029968977,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6428,112.9175,40.05709895864129,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8641,112.8181,63.50588833913207,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.7894,114.3045,33.76289788633585,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6283,113.5016,101.71041246503592,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8641,113.7233,41.03082912042737,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-27.0972,113.7778,79.38077049329877,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.786,114.0785,58.84316744282842,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0469,113.7534,79.7140633314848,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8259,113.5105,51.268666088581085,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6673,113.7972,61.40055425465107,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.3401,113.6389,36.08480079099536,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.1909,113.2485,67.19557011500001,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.379,113.8834,31.984022613614798,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.7657,113.5658,95.81968255341053,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.4846,113.4861,106.80577306076884,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.5317,113.1317,30.276963710784912,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6116,113.9592,68.87352876365185,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.3172,113.344,45.69086316972971,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9361,113.4603,48.02613630890846,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6506,113.4888,40.78310485929251,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.2814,113.4772,50.98401937633753,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.1171,113.7223,57.766495030373335,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6676,113.8608,107.54920093342662,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.5927,113.7146,42.590314745903015,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.7145,112.9115,102.21427435055375,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.2543,112.5363,90.19393190741539,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.3399,113.354,48.79627985879779,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.2949,113.4275,101.88463946804404,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.7968,113.4404,104.42986061796546,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8646,112.9429,95.84396148100495,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9484,113.2283,101.99797170236707,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.3777,112.7724,98.89227651059628,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6552,114.5556,83.67058649659157,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9869,113.7186,94.2049903422594,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9731,113.4975,78.27700706198812,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.5267,112.7439,94.5450721681118,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.5713,113.3933,30.39911923930049,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.3432,113.8282,42.99232063814998,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0905,113.8113,68.81250932812691,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6399,113.6816,32.95545056462288,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.3436,114.064,38.79770711064339,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.3443,112.7756,108.72833084315062,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.2443,113.059,53.82093073800206,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.3527,113.4923,51.70520022511482,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.4837,113.5597,86.81085938587785,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.868,113.287,106.29801277071238,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6387,113.9791,33.17540107294917,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.4196,112.683,34.20942448079586,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.4821,113.0943,55.448946580290794,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.3013,114.1416,65.04777619615197,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.1606,113.8569,43.22893610224128,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.1667,112.8929,65.85677368566394,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8578,113.8294,38.48500223830342,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0689,113.6462,75.33523438498378,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9489,112.9676,53.98969490081072,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8247,113.6438,43.60250746831298,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8523,113.8572,102.12493097409606,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.91,113.102,59.97825471684337,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8568,113.7079,93.01437268033624,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0942,113.0057,93.3019371330738,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.1017,113.7119,36.68153330683708,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.5644,113.1068,68.16417613998055,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0529,113.3497,87.49712301418185,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.1051,113.0833,52.793968711048365,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-24.8192,113.7791,42.03793600201607,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.4448,113.4422,55.70556057617068,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8451,113.6994,79.25442066043615,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.4975,113.7469,109.49797037988901,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.4882,113.4982,72.2205506451428,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8501,113.4635,49.821200389415026,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.2987,113.66,79.78527192026377,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9007,113.7356,89.08771518617868,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0713,113.4932,71.18394400924444,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.1455,113.6675,102.02553914859891,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.7099,113.8203,85.93984678387642,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.3899,113.772,41.39943270012736,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.8282,114.0239,74.81434803456068,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.673,112.7435,58.56673238798976,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0972,113.638,90.97941905260086,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9,113.5619,82.87419743835926,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.4508,113.1934,76.4536507986486,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.3241,113.1988,101.02709256112576,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.3388,113.7097,102.0490724593401,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9469,113.3578,99.77619787678123,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.4194,113.3959,68.06985177099705,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0879,113.7029,67.87000056356192,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.921,113.9573,45.71306448429823,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9344,114.3267,81.37374548241496,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.2551,113.8079,57.52848461270332,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0779,114.3008,76.17529712617397,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9118,114.0086,65.60546331107616,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0655,113.6334,78.35766481235623,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.4546,113.6016,36.378552839159966,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0924,114.2724,63.99886639788747,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0733,113.0948,34.377913400530815,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.6213,113.5258,32.529457211494446,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.3225,113.5769,46.172740925103426,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.9163,112.564,61.41077911481261,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.5206,113.3593,88.09073623269796,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-25.4331,113.6386,79.06820559874177,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
-26.0095,112.3684,108.46893016248941,SW Australia (Ningaloo/Rottnest),GlobalArchive / Harvey 2013,FALSE
